source_field,source_value,Maps to OMOP code,ID,vocabulary
LAST_PRIMARY_DIAGNOSIS,D23.6,Benign neoplasm of skin of upper limb,4243587,SNOMED
LAST_PRIMARY_DIAGNOSIS,F32.1,"Moderate major depression, single episode",4049623,SNOMED
LAST_PRIMARY_DIAGNOSIS,C82.9,Follicular non-Hodgkin's lymphoma,4147411,SNOMED
LAST_PRIMARY_DIAGNOSIS,T44.7,Beta-adrenoceptor agonist poisoning,4162322,SNOMED
LAST_PRIMARY_DIAGNOSIS,R04.0,Bleeding from nose,4096682,SNOMED
LAST_PRIMARY_DIAGNOSIS,C18.4,Primary malignant neoplasm of transverse colon,432257,SNOMED
LAST_PRIMARY_DIAGNOSIS,Q65.8,Congenital anomaly of lower limb,201956,SNOMED
LAST_PRIMARY_DIAGNOSIS,F10.1,Alcohol abuse,433753,SNOMED
LAST_PRIMARY_DIAGNOSIS,N13.6,Pyonephrosis,4174994,SNOMED
LAST_PRIMARY_DIAGNOSIS,O35.2,Fetal condition affecting obstetrical care of mother,74104,SNOMED
LAST_PRIMARY_DIAGNOSIS,O35.2,Fetus with hereditary disease,4064169,SNOMED
LAST_PRIMARY_DIAGNOSIS,K83.0,Cholangitis,195856,SNOMED
LAST_PRIMARY_DIAGNOSIS,D22.4,Melanocytic nevus of skin,4221679,SNOMED
LAST_PRIMARY_DIAGNOSIS,J33.9,Polyp of nasal sinus,4138403,SNOMED
LAST_PRIMARY_DIAGNOSIS,D23.7,Benign neoplasm of skin of lower limb,444445,SNOMED
LAST_PRIMARY_DIAGNOSIS,M46.9,Arthritis of spine,4153359,SNOMED
LAST_PRIMARY_DIAGNOSIS,K57.9,Diverticular disease,4266809,SNOMED
LAST_PRIMARY_DIAGNOSIS,S01.5,Open wound in mouth,4052826,SNOMED
LAST_PRIMARY_DIAGNOSIS,E83.4,Disorder of magnesium metabolism,438725,SNOMED
LAST_PRIMARY_DIAGNOSIS,C44.5,Primary malignant neoplasm of skin of trunk,133147,SNOMED
LAST_PRIMARY_DIAGNOSIS,T18.1,Foreign body in esophagus,23653,SNOMED
LAST_PRIMARY_DIAGNOSIS,S82.2,Fracture of shaft of tibia,4320628,SNOMED
LAST_PRIMARY_DIAGNOSIS,M23.8,Derangement of knee,76786,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z01.5,In vivo test of hypersensitivity,4092969,SNOMED
LAST_PRIMARY_DIAGNOSIS,K22.2,Obstruction of esophagus,4224926,SNOMED
LAST_PRIMARY_DIAGNOSIS,S83.2,Tear of meniscus of knee,4035415,SNOMED
LAST_PRIMARY_DIAGNOSIS,H53.9,Visual disturbance,374034,SNOMED
LAST_PRIMARY_DIAGNOSIS,D12.2,Benign neoplasm of ascending colon,442111,SNOMED
LAST_PRIMARY_DIAGNOSIS,M50.1,Cervical disc disorder with radiculopathy,4067313,SNOMED
LAST_PRIMARY_DIAGNOSIS,L28.1,Prurigo nodularis,4272156,SNOMED
LAST_PRIMARY_DIAGNOSIS,H50.1,Divergent concomitant strabismus,4163410,SNOMED
LAST_PRIMARY_DIAGNOSIS,M47.8,Spondylosis,4227449,SNOMED
LAST_PRIMARY_DIAGNOSIS,K43.0,Incisional hernia with obstruction,201341,SNOMED
LAST_PRIMARY_DIAGNOSIS,L50.9,Urticaria,139900,SNOMED
LAST_PRIMARY_DIAGNOSIS,D47.3,Essential thrombocythemia,438383,SNOMED
LAST_PRIMARY_DIAGNOSIS,C15.5,Primary malignant neoplasm of lower third of esophagus,193138,SNOMED
LAST_PRIMARY_DIAGNOSIS,T43.0,Poisoning by antidepressant,440270,SNOMED
LAST_PRIMARY_DIAGNOSIS,J82,Pulmonary eosinophilia,4279553,SNOMED
LAST_PRIMARY_DIAGNOSIS,N32.9,Disorder of urinary bladder,201337,SNOMED
LAST_PRIMARY_DIAGNOSIS,J32.0,Chronic maxillary sinusitis,134668,SNOMED
LAST_PRIMARY_DIAGNOSIS,M48.0,Spinal stenosis,77079,SNOMED
LAST_PRIMARY_DIAGNOSIS,N72,Inflammation of cervix,444078,SNOMED
LAST_PRIMARY_DIAGNOSIS,E04.9,Simple goiter,141825,SNOMED
LAST_PRIMARY_DIAGNOSIS,J38.3,Disorder of vocal cord,254669,SNOMED
LAST_PRIMARY_DIAGNOSIS,O22.2,Superficial thrombophlebitis in pregnancy,4146460,SNOMED
LAST_PRIMARY_DIAGNOSIS,C21.0,Primary malignant neoplasm of anus,80045,SNOMED
LAST_PRIMARY_DIAGNOSIS,J93.1,Spontaneous pneumothorax,255302,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z03.3,Medical examination for suspected condition,4064522,SNOMED
LAST_PRIMARY_DIAGNOSIS,D12.0,Benign neoplasm of cecum,442108,SNOMED
LAST_PRIMARY_DIAGNOSIS,I80.3,Thrombophlebitis of lower extremities,444097,SNOMED
LAST_PRIMARY_DIAGNOSIS,C71.3,Primary malignant neoplasm of parietal lobe,438086,SNOMED
LAST_PRIMARY_DIAGNOSIS,C18.5,Primary malignant neoplasm of splenic flexure of colon,437798,SNOMED
LAST_PRIMARY_DIAGNOSIS,E27.4,Adrenal cortical hypofunction,435508,SNOMED
LAST_PRIMARY_DIAGNOSIS,K61.3,Ischiorectal abscess,4262720,SNOMED
LAST_PRIMARY_DIAGNOSIS,N36.8,Disorder of urethra,200450,SNOMED
LAST_PRIMARY_DIAGNOSIS,M47.9,Spondylosis,4227449,SNOMED
LAST_PRIMARY_DIAGNOSIS,E21.0,Primary hyperparathyroidism,136934,SNOMED
LAST_PRIMARY_DIAGNOSIS,M54.8,Backache,134736,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z45.2,Adjustment of implant,4112122,SNOMED
LAST_PRIMARY_DIAGNOSIS,O65.4,Obstructed labor due to disproportion between fetus and pelvis,45757117,SNOMED
LAST_PRIMARY_DIAGNOSIS,N83.5,Disorder of female genital organs,200452,SNOMED
LAST_PRIMARY_DIAGNOSIS,K00.6,Tooth eruption disorder,4122116,SNOMED
LAST_PRIMARY_DIAGNOSIS,D61.9,Aplastic anemia,137829,SNOMED
LAST_PRIMARY_DIAGNOSIS,O33.9,Fetal condition affecting obstetrical care of mother,74104,SNOMED
LAST_PRIMARY_DIAGNOSIS,O33.9,Fetal disproportion,80165,SNOMED
LAST_PRIMARY_DIAGNOSIS,G45.9,Transient cerebral ischemia,373503,SNOMED
LAST_PRIMARY_DIAGNOSIS,S82.5,Fracture of medial malleolus,4105127,SNOMED
LAST_PRIMARY_DIAGNOSIS,H33.0,Rhegmatogenous retinal detachment,4055484,SNOMED
LAST_PRIMARY_DIAGNOSIS,M54.4,Lumbago with sciatica,4001450,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z48.8,Surgical follow-up,4079646,SNOMED
LAST_PRIMARY_DIAGNOSIS,N82.3,Fistula of vagina to large intestine,4112931,SNOMED
LAST_PRIMARY_DIAGNOSIS,C51.9,Primary malignant neoplasm of vulva,195197,SNOMED
LAST_PRIMARY_DIAGNOSIS,C64,Primary malignant neoplasm of kidney,198985,SNOMED
LAST_PRIMARY_DIAGNOSIS,C49.2,Malignant neoplasm soft tissue of lower limb,37166992,SNOMED
LAST_PRIMARY_DIAGNOSIS,S42.2,Fracture of upper end of humerus,4133610,SNOMED
LAST_PRIMARY_DIAGNOSIS,I45.6,Accelerated atrioventricular conduction,4057008,SNOMED
LAST_PRIMARY_DIAGNOSIS,M79.2,Neuralgia,373852,SNOMED
LAST_PRIMARY_DIAGNOSIS,K57.2,Perforation and abscess of large intestine co-occurrent and due to diverticulitis,36716700,SNOMED
LAST_PRIMARY_DIAGNOSIS,N87.9,Dysplasia of cervix,192367,SNOMED
LAST_PRIMARY_DIAGNOSIS,I49.8,Cardiac arrhythmia,44784217,SNOMED
LAST_PRIMARY_DIAGNOSIS,D69.1,Qualitative platelet disorder,437241,SNOMED
LAST_PRIMARY_DIAGNOSIS,H02.9,Disorder of eyelid,376125,SNOMED
LAST_PRIMARY_DIAGNOSIS,L27.0,Generalized skin eruption caused by drug and medicament,4064036,SNOMED
LAST_PRIMARY_DIAGNOSIS,O82.1,Delivery by emergency cesarean section,4066112,SNOMED
LAST_PRIMARY_DIAGNOSIS,N20.9,Urolithiasis,4319447,SNOMED
LAST_PRIMARY_DIAGNOSIS,D35.2,Benign neoplasm of pituitary gland,4242816,SNOMED
LAST_PRIMARY_DIAGNOSIS,F32.3,"Severe major depression, single episode, with psychotic features",438406,SNOMED
LAST_PRIMARY_DIAGNOSIS,N94.0,Mittelschmerz,201626,SNOMED
LAST_PRIMARY_DIAGNOSIS,S42.0,Fracture of clavicle,4237458,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z13.6,Screening for cardiovascular system disease,4102739,SNOMED
LAST_PRIMARY_DIAGNOSIS,S92.3,Metatarsal bone fracture,435644,SNOMED
LAST_PRIMARY_DIAGNOSIS,E03.9,Hypothyroidism,140673,SNOMED
LAST_PRIMARY_DIAGNOSIS,K62.6,Ulcer of anorectal structure,40483171,SNOMED
LAST_PRIMARY_DIAGNOSIS,I49.3,Ventricular premature complex,4089462,SNOMED
LAST_PRIMARY_DIAGNOSIS,O15.2,Eclampsia in puerperium,4116344,SNOMED
LAST_PRIMARY_DIAGNOSIS,M62.8,Disorder of muscle,137275,SNOMED
LAST_PRIMARY_DIAGNOSIS,N80.4,Endometriosis of vagina,4211992,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z03.1,Examination for suspected neoplasm,4062771,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z03.1,Screening for cancer,4048727,SNOMED
LAST_PRIMARY_DIAGNOSIS,L52,Erythema nodosum,140176,SNOMED
LAST_PRIMARY_DIAGNOSIS,M95.0,Acquired deformity of nose,261116,SNOMED
LAST_PRIMARY_DIAGNOSIS,H60.1,Cellulitis of pinna,4334404,SNOMED
LAST_PRIMARY_DIAGNOSIS,I27.2,Secondary pulmonary hypertension,4339214,SNOMED
LAST_PRIMARY_DIAGNOSIS,C24.1,Primary malignant neoplasm of ampulla of Vater,441225,SNOMED
LAST_PRIMARY_DIAGNOSIS,R60.0,Localized edema,4171917,SNOMED
LAST_PRIMARY_DIAGNOSIS,H02.8,Disorder of eyelid,376125,SNOMED
LAST_PRIMARY_DIAGNOSIS,R41.0,Disorientated,4268911,SNOMED
LAST_PRIMARY_DIAGNOSIS,D89.8,Disorder of immune function,440371,SNOMED
LAST_PRIMARY_DIAGNOSIS,O87.8,Venous complication of puerperium,43530951,SNOMED
LAST_PRIMARY_DIAGNOSIS,O26.4,Herpes gestationis,4311256,SNOMED
LAST_PRIMARY_DIAGNOSIS,T84.6,Complication associated with orthopedic device,43021250,SNOMED
LAST_PRIMARY_DIAGNOSIS,H65.3,Chronic mucoid otitis media,381592,SNOMED
LAST_PRIMARY_DIAGNOSIS,S82.4,Fracture of fibula,436209,SNOMED
LAST_PRIMARY_DIAGNOSIS,B37.3,Candidal vulvovaginitis,4217669,SNOMED
LAST_PRIMARY_DIAGNOSIS,R39.1,Difficulty passing urine,4010658,SNOMED
LAST_PRIMARY_DIAGNOSIS,D48.1,Neoplasm of uncertain behavior of soft tissues,374313,SNOMED
LAST_PRIMARY_DIAGNOSIS,D17.0,Lipoma of head and neck,4200649,SNOMED
LAST_PRIMARY_DIAGNOSIS,K29.1,Acute gastritis,199866,SNOMED
LAST_PRIMARY_DIAGNOSIS,K29.2,Alcoholic gastritis,195300,SNOMED
LAST_PRIMARY_DIAGNOSIS,L98.2,Acute febrile neutrophilic dermatosis,4225434,SNOMED
LAST_PRIMARY_DIAGNOSIS,K13.0,Disorder of lip,135858,SNOMED
LAST_PRIMARY_DIAGNOSIS,F19.1,Psychoactive substance abuse,4239381,SNOMED
LAST_PRIMARY_DIAGNOSIS,I82.8,Disorder of vein,4234997,SNOMED
LAST_PRIMARY_DIAGNOSIS,N13.0,Acquired hydronephrosis due to ureteropelvic junction obstruction,36713576,SNOMED
LAST_PRIMARY_DIAGNOSIS,T83.0,Mechanical complication of urethral indwelling catheter,194847,SNOMED
LAST_PRIMARY_DIAGNOSIS,G93.9,Disorder of brain,372887,SNOMED
LAST_PRIMARY_DIAGNOSIS,K22.4,Diffuse spasm of esophagus,134681,SNOMED
LAST_PRIMARY_DIAGNOSIS,I63.9,Cerebral infarction,443454,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z41.1,Cosmetic surgery,4207050,SNOMED
LAST_PRIMARY_DIAGNOSIS,M22.0,Recurrent dislocation of the patellofemoral joint,4117553,SNOMED
LAST_PRIMARY_DIAGNOSIS,T78.0,Food anaphylaxis,434219,SNOMED
LAST_PRIMARY_DIAGNOSIS,K07.4,Malocclusion of teeth,260759,SNOMED
LAST_PRIMARY_DIAGNOSIS,K38.8,Disorder of appendix,433524,SNOMED
LAST_PRIMARY_DIAGNOSIS,M24.2,Disorder of ligament,442628,SNOMED
LAST_PRIMARY_DIAGNOSIS,J39.2,Disorder of pharynx,31057,SNOMED
LAST_PRIMARY_DIAGNOSIS,R61.9,Hyperhidrosis,138565,SNOMED
LAST_PRIMARY_DIAGNOSIS,R47.8,Disturbance in speech,435642,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z22.3,Infectious disease carrier,4280828,SNOMED
LAST_PRIMARY_DIAGNOSIS,M75.4,Impingement syndrome of shoulder region,4344500,SNOMED
LAST_PRIMARY_DIAGNOSIS,R50.8,Fever,437663,SNOMED
LAST_PRIMARY_DIAGNOSIS,S83.5,Sprain of cruciate ligament of knee,74189,SNOMED
LAST_PRIMARY_DIAGNOSIS,L98.0,Pyogenic granuloma,4308074,SNOMED
LAST_PRIMARY_DIAGNOSIS,N28.8,Disorder of kidney and/or ureter,40483287,SNOMED
LAST_PRIMARY_DIAGNOSIS,C70.0,Primary malignant neoplasm of cerebral meninges,436926,SNOMED
LAST_PRIMARY_DIAGNOSIS,H73.8,Disorder of tympanic membrane,375819,SNOMED
LAST_PRIMARY_DIAGNOSIS,I80.1,Thrombophlebitis of the femoral vein,439314,SNOMED
LAST_PRIMARY_DIAGNOSIS,O72.3,Postpartum coagulation defects,436483,SNOMED
LAST_PRIMARY_DIAGNOSIS,E27.2,Acute adrenal insufficiency,35624320,SNOMED
LAST_PRIMARY_DIAGNOSIS,M79.5,Residual foreign body in soft tissue,378523,SNOMED
LAST_PRIMARY_DIAGNOSIS,T78.3,Angioedema,432791,SNOMED
LAST_PRIMARY_DIAGNOSIS,N85.0,Endometrial hyperplasia,200775,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z43.6,Procedure on urinary system,4041263,SNOMED
LAST_PRIMARY_DIAGNOSIS,I85.9,Esophageal varices without bleeding,22340,SNOMED
LAST_PRIMARY_DIAGNOSIS,S52.1,Fracture of proximal end of radius,4136715,SNOMED
LAST_PRIMARY_DIAGNOSIS,K70.3,Alcoholic cirrhosis,196463,SNOMED
LAST_PRIMARY_DIAGNOSIS,K04.8,Radicular cyst,138181,SNOMED
LAST_PRIMARY_DIAGNOSIS,R15,Incontinence of feces,197675,SNOMED
LAST_PRIMARY_DIAGNOSIS,D69.5,Secondary thrombocytopenia,40321716,SNOMED
LAST_PRIMARY_DIAGNOSIS,S62.3,Fracture of metacarpal bone,4015352,SNOMED
LAST_PRIMARY_DIAGNOSIS,H02.4,Ptosis of eyelid,374044,SNOMED
LAST_PRIMARY_DIAGNOSIS,O30.1,Triplet pregnancy,432375,SNOMED
LAST_PRIMARY_DIAGNOSIS,O74.6,Complications of anesthesia during labor and delivery,4064978,SNOMED
LAST_PRIMARY_DIAGNOSIS,K43.6,Obstructed hernia of anterior abdominal wall,197916,SNOMED
LAST_PRIMARY_DIAGNOSIS,S82.0,Fracture of patella,4177025,SNOMED
LAST_PRIMARY_DIAGNOSIS,K76.0,Steatosis of liver,4059290,SNOMED
LAST_PRIMARY_DIAGNOSIS,E87.1,Hypo-osmolality and or hyponatremia,435515,SNOMED
LAST_PRIMARY_DIAGNOSIS,L82,Seborrheic keratosis,40568467,SNOMED
LAST_PRIMARY_DIAGNOSIS,L91.8,Hypertrophic condition of skin,141375,SNOMED
LAST_PRIMARY_DIAGNOSIS,O98.9,"Infectious disease in mother complicating pregnancy, childbirth AND/OR puerperium",433823,SNOMED
LAST_PRIMARY_DIAGNOSIS,L43.9,Lichen planus,132703,SNOMED
LAST_PRIMARY_DIAGNOSIS,J98.8,Disorder of respiratory system,320136,SNOMED
LAST_PRIMARY_DIAGNOSIS,M79.7,Fibromyalgia,40405599,SNOMED
LAST_PRIMARY_DIAGNOSIS,N60.0,Solitary cyst of breast,78473,SNOMED
LAST_PRIMARY_DIAGNOSIS,C85.2,Primary mediastinal (thymic) large B-cell lymphoma,40481522,SNOMED
LAST_PRIMARY_DIAGNOSIS,F41.1,Generalized anxiety disorder,434613,SNOMED
LAST_PRIMARY_DIAGNOSIS,M24.8,Joint derangement,78228,SNOMED
LAST_PRIMARY_DIAGNOSIS,T85.0,Mechanical complication of ventricular communicating shunt,4276495,SNOMED
LAST_PRIMARY_DIAGNOSIS,H35.3,Degeneration of posterior pole of eye,42537727,SNOMED
LAST_PRIMARY_DIAGNOSIS,R26.8,Abnormal gait,437643,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z35.7,Supervision of high risk pregnancy for social problem,45765732,SNOMED
LAST_PRIMARY_DIAGNOSIS,H18.6,Keratoconus,374362,SNOMED
LAST_PRIMARY_DIAGNOSIS,R22.3,Swelling of upper limb,42709746,SNOMED
LAST_PRIMARY_DIAGNOSIS,T82.8,Complication associated with device,43021974,SNOMED
LAST_PRIMARY_DIAGNOSIS,S01.8,Open wound of head,4243161,SNOMED
LAST_PRIMARY_DIAGNOSIS,N60.4,Mammary duct ectasia,438808,SNOMED
LAST_PRIMARY_DIAGNOSIS,E83.3,Disorder of phosphorus metabolism,435788,SNOMED
LAST_PRIMARY_DIAGNOSIS,K86.2,Cyst of pancreas,4151134,SNOMED
LAST_PRIMARY_DIAGNOSIS,N88.8,Noninflammatory cervical disorder,4113650,SNOMED
LAST_PRIMARY_DIAGNOSIS,K14.8,Disorder of tongue,432941,SNOMED
LAST_PRIMARY_DIAGNOSIS,R00.1,Bradycardia,4169095,SNOMED
LAST_PRIMARY_DIAGNOSIS,M31.1,Thrombotic microangiopathy,313800,SNOMED
LAST_PRIMARY_DIAGNOSIS,K22.8,Disorder of esophagus,31610,SNOMED
LAST_PRIMARY_DIAGNOSIS,T19.2,Foreign body in vulva and vagina,194802,SNOMED
LAST_PRIMARY_DIAGNOSIS,O24.3,Pre-existing diabetes mellitus in pregnancy,43531007,SNOMED
LAST_PRIMARY_DIAGNOSIS,L92.9,Granulomatous disorder of the skin and subcutaneous tissue,4033802,SNOMED
LAST_PRIMARY_DIAGNOSIS,H92.1,Otorrhea,378160,SNOMED
LAST_PRIMARY_DIAGNOSIS,H60.3,Infective otitis externa,381859,SNOMED
LAST_PRIMARY_DIAGNOSIS,G43.0,Migraine without aura,378735,SNOMED
LAST_PRIMARY_DIAGNOSIS,N73.0,Acute parametritis,4060950,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z43.2,Attention to ileostomy,4017330,SNOMED
LAST_PRIMARY_DIAGNOSIS,M24.4,Recurrent dislocation of joint,81939,SNOMED
LAST_PRIMARY_DIAGNOSIS,H04.5,Stenosis and insufficiency of lacrimal passages,4150301,SNOMED
LAST_PRIMARY_DIAGNOSIS,G81.9,Hemiplegia,374022,SNOMED
LAST_PRIMARY_DIAGNOSIS,C08.9,Primary malignant neoplasm of major salivary gland,4247836,SNOMED
LAST_PRIMARY_DIAGNOSIS,T85.6,Complication associated with device,43021974,SNOMED
LAST_PRIMARY_DIAGNOSIS,M23.3,Derangement of meniscus,75346,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z45.0,Analysis of electronic device used in cardiovascular system,4032241,SNOMED
LAST_PRIMARY_DIAGNOSIS,C77.2,Spread to lymph node,36768587,Cancer Modifier
LAST_PRIMARY_DIAGNOSIS,J15.7,Pneumonia caused by Mycoplasma pneumoniae,440431,SNOMED
LAST_PRIMARY_DIAGNOSIS,N80.8,Endometriosis (clinical),433527,SNOMED
LAST_PRIMARY_DIAGNOSIS,Q28.2,Cerebral arteriovenous malformation,4121803,SNOMED
LAST_PRIMARY_DIAGNOSIS,G25.8,Movement disorder,372604,SNOMED
LAST_PRIMARY_DIAGNOSIS,M70.4,Prepatellar bursitis,133294,SNOMED
LAST_PRIMARY_DIAGNOSIS,Q18.0,Congenital anomaly of neck,25056,SNOMED
LAST_PRIMARY_DIAGNOSIS,Q18.0,Branchial cleft anomaly,4178668,SNOMED
LAST_PRIMARY_DIAGNOSIS,H81.2,Epidemic vertigo,437496,SNOMED
LAST_PRIMARY_DIAGNOSIS,O92.7,Disorder of lactation,80471,SNOMED
LAST_PRIMARY_DIAGNOSIS,M05.9,Seropositive rheumatoid arthritis,4035611,SNOMED
LAST_PRIMARY_DIAGNOSIS,G44.4,Headache caused by drug,46270383,SNOMED
LAST_PRIMARY_DIAGNOSIS,J38.6,Stenosis of larynx,24974,SNOMED
LAST_PRIMARY_DIAGNOSIS,M54.6,Pain in thoracic spine,312998,SNOMED
LAST_PRIMARY_DIAGNOSIS,E11.1,Type 2 diabetes mellitus,201826,SNOMED
LAST_PRIMARY_DIAGNOSIS,E11.1,Ketoacidosis due to type 2 diabetes mellitus,443734,SNOMED
LAST_PRIMARY_DIAGNOSIS,C81.2,"Hodgkin's disease, mixed cellularity (clinical)",4038843,SNOMED
LAST_PRIMARY_DIAGNOSIS,J33.0,Polyp of nasal cavity,42537252,SNOMED
LAST_PRIMARY_DIAGNOSIS,J13,Pneumococcal pneumonia,258785,SNOMED
LAST_PRIMARY_DIAGNOSIS,J35.2,Hypertrophy of adenoids,438788,SNOMED
LAST_PRIMARY_DIAGNOSIS,J35.9,Chronic disease of tonsils AND/OR adenoids,432347,SNOMED
LAST_PRIMARY_DIAGNOSIS,O36.2,Fetal condition affecting obstetrical care of mother,74104,SNOMED
LAST_PRIMARY_DIAGNOSIS,O36.2,Hydrops fetalis,4173169,SNOMED
LAST_PRIMARY_DIAGNOSIS,D25.0,Submucous leiomyoma of uterus,195769,SNOMED
LAST_PRIMARY_DIAGNOSIS,I27.0,Pulmonary arterial hypertension,4013643,SNOMED
LAST_PRIMARY_DIAGNOSIS,I80.0,Thrombophlebitis of superficial veins of lower extremity,444055,SNOMED
LAST_PRIMARY_DIAGNOSIS,T88.7,Adverse reaction to drug,441207,SNOMED
LAST_PRIMARY_DIAGNOSIS,L81.9,Disorder of pigmentation,4185471,SNOMED
LAST_PRIMARY_DIAGNOSIS,S32.0,Fracture of lumbar spine,4129394,SNOMED
LAST_PRIMARY_DIAGNOSIS,O87.9,Venous complication of puerperium,43530951,SNOMED
LAST_PRIMARY_DIAGNOSIS,D80.8,Immunodeficiency disorder,433740,SNOMED
LAST_PRIMARY_DIAGNOSIS,J10.8,Influenza caused by seasonal influenza virus,36714388,SNOMED
LAST_PRIMARY_DIAGNOSIS,J10.8,Influenza with non-respiratory manifestation,320752,SNOMED
LAST_PRIMARY_DIAGNOSIS,I67.1,Cerebral arterial aneurysm,4029497,SNOMED
LAST_PRIMARY_DIAGNOSIS,M86.9,Osteomyelitis,141663,SNOMED
LAST_PRIMARY_DIAGNOSIS,E85.4,Localized amyloidosis,4210746,SNOMED
LAST_PRIMARY_DIAGNOSIS,T83.5,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",4308394,SNOMED
LAST_PRIMARY_DIAGNOSIS,M23.4,Loose body in knee,75039,SNOMED
LAST_PRIMARY_DIAGNOSIS,N30.3,Trigonitis,441615,SNOMED
LAST_PRIMARY_DIAGNOSIS,T40.4,Poisoning by psychotropic agent,434223,SNOMED
LAST_PRIMARY_DIAGNOSIS,O35.6,Suspected fetal abnormality affecting management of mother,36712695,SNOMED
LAST_PRIMARY_DIAGNOSIS,O35.6,Suspected fetal damage from radiation,43530888,SNOMED
LAST_PRIMARY_DIAGNOSIS,M08.3,Juvenile seronegative polyarthritis,4132810,SNOMED
LAST_PRIMARY_DIAGNOSIS,G54.0,Brachial plexus disorder,378741,SNOMED
LAST_PRIMARY_DIAGNOSIS,D12.6,Benign neoplasm of colon,77234,SNOMED
LAST_PRIMARY_DIAGNOSIS,I80.9,Thrombophlebitis,320741,SNOMED
LAST_PRIMARY_DIAGNOSIS,C71.7,Primary malignant neoplasm of brain stem,441806,SNOMED
LAST_PRIMARY_DIAGNOSIS,L02.1,Disorder of skin of neck,4266046,SNOMED
LAST_PRIMARY_DIAGNOSIS,H50.9,Strabismus,4329707,SNOMED
LAST_PRIMARY_DIAGNOSIS,N99.2,Postoperative adhesions of vagina,4139294,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z13.0,Hematology screening test,4198132,SNOMED
LAST_PRIMARY_DIAGNOSIS,H31.8,Disorder of choroid of eye,432620,SNOMED
LAST_PRIMARY_DIAGNOSIS,N13.5,Disorder of ureter,194995,SNOMED
LAST_PRIMARY_DIAGNOSIS,A04.7,Clostridioides difficile infection,193688,SNOMED
LAST_PRIMARY_DIAGNOSIS,S52.0,Fracture of proximal end of ulna,4136718,SNOMED
LAST_PRIMARY_DIAGNOSIS,L53.9,Erythema of skin,40481101,SNOMED
LAST_PRIMARY_DIAGNOSIS,H33.2,Serous retinal detachment,374640,SNOMED
LAST_PRIMARY_DIAGNOSIS,G57.6,Plantar nerve lesion,138148,SNOMED
LAST_PRIMARY_DIAGNOSIS,K80.8,Biliary calculus,4145627,SNOMED
LAST_PRIMARY_DIAGNOSIS,S81.0,Open wound of knee,4129407,SNOMED
LAST_PRIMARY_DIAGNOSIS,J38.7,Disorder of the larynx,31602,SNOMED
LAST_PRIMARY_DIAGNOSIS,S71.1,Open wound of thigh,4053602,SNOMED
LAST_PRIMARY_DIAGNOSIS,G37.9,Demyelinating disease of central nervous system,375801,SNOMED
LAST_PRIMARY_DIAGNOSIS,F17.1,Harmful pattern of use of nicotine,37110444,SNOMED
LAST_PRIMARY_DIAGNOSIS,C54.1,Primary malignant neoplasm of endometrium,4247238,SNOMED
LAST_PRIMARY_DIAGNOSIS,G40.2,Focal onset impaired awareness epileptic seizure,4236312,SNOMED
LAST_PRIMARY_DIAGNOSIS,G40.2,Localization-related symptomatic epilepsy,4044082,SNOMED
LAST_PRIMARY_DIAGNOSIS,H60.5,Acute non-infective otitis externa,4336157,SNOMED
LAST_PRIMARY_DIAGNOSIS,J03.0,Streptococcal tonsillitis,4212727,SNOMED
LAST_PRIMARY_DIAGNOSIS,N90.4,Leukoplakia of vulva,4113837,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z08.7,Follow-up encounter,4307024,SNOMED
LAST_PRIMARY_DIAGNOSIS,D75.1,Secondary polycythemia,435790,SNOMED
LAST_PRIMARY_DIAGNOSIS,N62,Hypertrophy of breast,78474,SNOMED
LAST_PRIMARY_DIAGNOSIS,T81.2,Accidental wound during procedure,37116361,SNOMED
LAST_PRIMARY_DIAGNOSIS,F19.5,Drug-induced psychosis,434900,SNOMED
LAST_PRIMARY_DIAGNOSIS,F19.5,Psychoactive substance-induced psychosis,46284260,SNOMED
LAST_PRIMARY_DIAGNOSIS,C38.4,Primary malignant neoplasm of pleura,78093,SNOMED
LAST_PRIMARY_DIAGNOSIS,O26.1,Insufficient weight gain of pregnancy,4200256,SNOMED
LAST_PRIMARY_DIAGNOSIS,K59.9,Functional disorder of intestine,196151,SNOMED
LAST_PRIMARY_DIAGNOSIS,N39.9,Disorder of the urinary system,75865,SNOMED
LAST_PRIMARY_DIAGNOSIS,O22.5,Cerebral venous thrombosis in pregnancy,4062269,SNOMED
LAST_PRIMARY_DIAGNOSIS,Z35.6,Supervision of high risk pregnancy for primigravida age 15 years or younger,45765734,SNOMED
